id,class,method,name,enabled,description
378,java.util.jar.Attributes,putAll,,True,
379,java.util.jar.Attributes,putValue,,True,
380,java.util.jar.JarEntry,getName,,True,
381,java.util.jar.JarFile,close,,True,
382,java.util.jar.JarFile,entries,,True,
383,java.util.jar.JarFile,JarFile,,True,
384,java.util.jar.Manifest,read,,True,
385,java.util.Properties,put,,True,
386,java.util.Properties,store,,True,
387,java.util.SortedMap,putAll,,True,
388,java.util.SortedSet,addAll,,True,
389,java.util.SortedSet,iterator,,True,
390,java.util.WeakHashMap,keySet,,True,
391,java.util.WeakHashMap,size,,True,
392,java.util.zip.Adler32,Adler32,,True,
393,java.util.zip.Adler32,getValue,,True,
394,java.util.zip.Adler32,reset,,True,
395,java.util.zip.Adler32,update,,True,
396,java.util.zip.Deflater,Deflater,,True,
397,java.util.zip.Deflater,finished,,True,
398,java.util.zip.GZIPOutputStream,finish,,True,
399,java.util.zip.GZIPOutputStream,flush,,True,
400,java.util.zip.ZipEntry,setCompressedSize,,True,
401,javax.crypto.BadPaddingException,printStackTrace,,True,
402,javax.crypto.Cipher,doFinal,,True,
403,javax.crypto.Cipher,getBlockSize,,True,
404,javax.crypto.Cipher,getInstance,,True,
405,javax.crypto.Cipher,init,,True,
406,javax.crypto.CipherOutputStream,close,,True,
407,javax.crypto.CipherOutputStream,flush,,True,
408,javax.crypto.CipherOutputStream,write,,True,
409,javax.crypto.EncryptedPrivateKeyInfo,getKeySpec,,True,
410,javax.crypto.IllegalBlockSizeException,printStackTrace,,True,
411,javax.crypto.KeyGenerator,generateKey,,True,
412,javax.crypto.KeyGenerator,getInstance,,True,
413,javax.crypto.KeyGenerator,init,,True,
414,javax.crypto.Mac,getAlgorithm,,True,
415,javax.crypto.NoSuchPaddingException,printStackTrace,,True,
416,javax.crypto.SecretKeyFactory,generateSecret,,True,
417,javax.crypto.SecretKeyFactory,getInstance,,True,
418,javax.crypto.spec.DESedeKeySpec,DESedeKeySpec,,True,
419,javax.crypto.spec.DESKeySpec,DESKeySpec,,True,
420,javax.crypto.spec.SecretKeySpec,SecretKeySpec,,True,
421,javax.net.ssl.HttpsURLConnection,setDefaultHostnameVerifier,,True,
422,org.apache.http.conn.ConnectTimeoutException,printStackTrace,,True,
423,org.apache.http.params.HttpConnectionParams,setStaleCheckingEnabled,,True,
424,org.apache.http.params.HttpParams,setIntParameter,,True,
425,org.w3c.dom.Element,getElementsByTagName,,True,
426,org.xmlpull.v1.XmlPullParser,nextText,,True,
427,org.xmlpull.v1.XmlSerializer,setFeature,,True,
428,org.xmlpull.v1.XmlSerializer,text,,True,
